,skid,annotation,id,uid
6743.1,6743,PRC_visualisation,2179420,13
6743.2,6743,SN_head_visualisation_small,2179000,13
6743.3,6743,SN_head_visualisation,2177253,13
6743.4,6743,glutamatergic,2117747,11
6743.5,6743,connectome,2169156,11
6743.6,6743,connectome_old_set,2167517,11
6743.7,6743,connectome_Sensory_neuron,2103621,11
6743.8,6743,left_side,2054472,11
6743.9,6743,with_soma,2036716,11
6743.10,6743,episphere,2030265,11
6743.11,6743,connectome_neuron,2102600,11
6743.12,6743,celltype1,1925559,11
6743.13,6743,celltype,1923642,11
6743.14,6743,ectoderm,1801868,16
6743.15,6743,Sensory neuron,38666,13
6743.16,6743,head,1467274,13
6743.17,6743,left,1275210,16
6743.18,6743,eye_circuit,606630,10
6743.19,6743,rhabdomeric photoreceptor,30842,11
7501.1,7501,PRC_visualisation,2179420,13
7501.2,7501,SN_head_visualisation_small,2179000,13
7501.3,7501,SN_head_visualisation,2177253,13
7501.4,7501,glutamatergic,2117747,11
7501.5,7501,connectome,2169156,11
7501.6,7501,connectome_old_set,2167517,11
7501.7,7501,connectome_Sensory_neuron,2103621,11
7501.8,7501,left_side,2054472,11
7501.9,7501,with_soma,2036716,11
7501.10,7501,episphere,2030265,11
7501.11,7501,connectome_neuron,2102600,11
7501.12,7501,celltype1,1925559,11
7501.13,7501,celltype,1923642,11
7501.14,7501,ectoderm,1801868,16
7501.15,7501,Sensory neuron,38666,11
7501.16,7501,rhabdomeric photoreceptor,30842,11
7501.17,7501,head,1467274,13
7501.18,7501,left,1275210,16
7501.19,7501,eye_circuit,606630,10
10536.1,10536,PRC_visualisation,2179420,13
10536.2,10536,SN_head_visualisation_small,2179000,13
10536.3,10536,SN_head_visualisation,2177253,13
10536.4,10536,glutamatergic,2117747,11
10536.5,10536,connectome,2169156,11
10536.6,10536,connectome_old_set,2167517,11
10536.7,10536,connectome_Sensory_neuron,2103621,11
10536.8,10536,left_side,2054472,11
10536.9,10536,with_soma,2036716,11
10536.10,10536,episphere,2030265,11
10536.11,10536,connectome_neuron,2102600,11
10536.12,10536,celltype1,1925559,11
10536.13,10536,celltype,1923642,11
10536.14,10536,ectoderm,1801868,16
10536.15,10536,head,1467274,13
10536.16,10536,left,1275210,16
10536.17,10536,eye_circuit,606630,10
10536.18,10536,Sensory neuron,38666,11
10536.19,10536,rhabdomeric photoreceptor,30842,11
11135.1,11135,PRC_visualisation,2179420,13
11135.2,11135,SN_head_visualisation_small,2179000,13
11135.3,11135,SN_head_visualisation,2177253,13
11135.4,11135,glutamatergic,2117747,11
11135.5,11135,connectome,2169156,11
11135.6,11135,connectome_old_set,2167517,11
11135.7,11135,connectome_Sensory_neuron,2103621,11
11135.8,11135,left_side,2054472,11
11135.9,11135,with_soma,2036716,11
11135.10,11135,episphere,2030265,11
11135.11,11135,connectome_neuron,2102600,11
11135.12,11135,eye_circuit,606630,10
11135.13,11135,celltype1,1925559,11
11135.14,11135,celltype,1923642,11
