"Neuron","Skeleton","Raw cable (nm)","Smooth cable (nm)","Lower-bound cable (nm)","N inputs","N outputs","N presynaptic sites","N nodes","N branch nodes","N end nodes"
"cMNATO",1302189,2050625,1158758,1037269,63,199,199,9375,213,223
"cMNdc; PDF",1560393,1782955,956620,850596,50,94,94,7896,186,193
"cMNPDF-vcl1",85530,1371215,802709,730223,27,166,166,7201,172,179
"IN",1344059,102112,86003,80608,3,4,4,570,23,27
"IN 1024096",1024095,159965,126309,123592,8,5,5,1067,40,44
"IN 1050288",1050287,70480,56837,55555,2,5,5,673,19,22
"IN 1086657-Reza",1086656,110722,79835,73667,4,1,1,740,27,31
"IN 1104825",1104824,115680,88337,84615,3,4,4,729,26,28
"IN 1115833",1115832,132025,104151,101062,3,0,0,848,29,33
"IN 1130884",1130883,129025,83661,77927,2,0,0,806,30,32
"IN 1160176",1160175,121968,95396,92664,1,0,0,703,34,37
"IN 1258528",1258527,267832,207519,201796,6,11,11,1954,107,112
"IN 1263276",1263275,119121,87709,83777,2,2,2,758,30,37
"IN 1265746",1265745,123423,90467,86370,0,9,9,859,31,33
"IN 1271861",1271860,115204,85206,81119,4,2,2,493,24,29
"IN 1271885",1271884,76897,62376,59473,10,1,1,451,16,17
"IN 1271921",1271920,112120,80322,77644,3,2,2,614,21,26
"IN 1272953",1272952,152205,127356,124664,2,1,1,1149,45,51
"IN 1273404",1471324,146723,108254,102477,6,1,1,1151,32,34
"IN 1273471",1273470,51899,44133,42378,1,1,1,449,10,11
"IN 1273522",1273521,164700,142061,139006,3,0,0,1231,59,70
"IN 1273950",1273949,259753,177022,166685,0,3,3,1440,59,62
"IN 1274486",1274485,85165,58623,56173,2,3,3,999,21,23
"IN 1275445",1275444,126784,99315,96380,2,3,3,895,34,37
"IN 1276486",1276485,166477,116289,109029,4,2,2,1081,41,44
"IN 1276718",1276717,106029,63405,58845,8,1,1,594,16,17
"IN 1280574",1280573,77115,68114,66986,3,0,0,673,20,23
"IN 1283775",1788017,355171,222418,213458,8,10,10,2203,64,67
"IN 1283876",1283875,212392,133318,122609,4,0,0,1059,22,25
"IN 1285141",1285140,118397,75191,62772,1,2,2,750,13,15
"IN 1285146",1285145,188486,120846,114128,2,2,2,1163,42,45
"IN 1285268",1285267,196663,160718,157263,6,5,5,1549,59,63
"IN 1285302",1285301,168532,139369,134944,2,14,14,1385,62,67
"IN 1285328",1285327,112963,90143,84699,3,3,3,690,33,41
"IN 1293382",1293381,164755,94033,86710,4,0,0,679,23,26
"IN 1294207",1294206,217540,160086,153941,5,3,3,1199,58,65
"IN 1295162",1295161,66626,44436,43202,4,0,0,374,10,12
"IN 1298857",1298856,68583,52310,48370,4,4,4,579,14,15
"IN 1299052",1299051,142729,97745,89311,3,6,6,922,29,32
"IN 1299059",1299058,139422,115240,109232,10,2,2,1054,36,39
"IN 1300345",1300344,109366,87219,82842,1,2,2,816,29,35
"IN 1301968",1301967,58356,46621,43635,1,3,3,476,19,21
"IN 1302346-RGWa-post2",1302345,192035,139787,133748,6,9,9,1539,54,56
"IN 1303154",1303153,145006,117519,113409,5,3,3,927,52,57
"IN 1306491",1306490,229488,157837,149868,3,4,4,1361,54,59
"IN 1312225",1312224,77966,59791,56589,4,1,1,641,12,14
"IN 1312930",1312929,59271,33231,29465,1,1,1,319,8,9
"IN 1316039",1316038,106680,89152,84893,5,1,1,697,30,32
"IN 1316131",1316130,108147,75864,72561,4,0,0,553,21,26
"IN 1316333",1316332,102528,68790,65140,5,2,2,549,19,21
"IN 1318987",1318986,165004,100123,89741,5,8,8,811,28,31
"IN 1319058",1319057,78192,61065,59700,1,1,1,479,16,17
"IN 1319705",1319704,133831,93016,88182,6,6,6,827,25,27
"IN 1319882",1319881,58649,44255,42616,1,1,1,686,14,15
"IN 1320160",1320159,57379,44786,42576,3,0,0,605,9,10
"IN 1322526",1322525,90668,69634,62840,2,1,1,865,13,14
"IN 1322587",1322586,127006,105823,103295,1,2,2,948,38,39
"IN 1323829",1323828,59224,47132,45866,3,1,1,682,11,13
"IN 1324061",1324060,62973,51431,49830,2,6,5,613,12,14
"IN 1325273",1325272,136101,105912,103344,4,16,16,867,41,43
"IN 1325455",1325454,80193,64695,62645,1,2,2,458,17,20
"IN 1326009",1326008,90503,79839,78817,3,4,4,628,27,28
"IN 1329248",1329247,78989,64999,63007,0,11,11,549,35,38
"IN 1330334",1330333,118570,90095,87338,4,6,6,877,42,44
"IN 1330879",1330878,128049,97785,93708,9,5,5,843,43,46
"IN 1331434",1331433,125815,98510,95845,1,3,3,873,32,35
"IN 1331807",1331806,127530,96903,94617,0,6,6,787,25,27
"IN 1332712",1332711,127018,104783,101292,1,3,3,1032,50,52
"IN 1332792",1332791,109108,86253,84304,2,1,1,733,40,46
"IN 1333390",1333389,89651,59276,53446,1,1,1,600,15,16
"IN 1333450",1333449,139807,102851,99739,2,3,3,955,42,50
"IN 1334139",1334138,63365,48319,46725,4,0,0,585,13,14
"IN 1335431",1335430,113238,90098,86314,2,2,2,796,39,42
"IN 1335728",1335727,92185,72536,70880,3,1,1,480,27,32
"IN 1337006",1337005,141303,101891,96797,1,4,4,862,33,36
"IN 1342072",1342071,123139,93767,83082,2,6,6,793,26,27
"IN 1342946",1342945,142119,112271,107737,3,3,3,694,31,34
"IN 1343347",1343346,93847,70625,66184,1,4,4,689,27,30
"IN 1343760",1789424,61375,44361,36847,0,3,3,350,5,6
"IN 1343963",1343962,75948,66732,65856,2,1,1,671,16,18
"IN 1344085",1344084,73738,62565,61498,4,2,2,459,25,31
"IN 1346180",1346179,89269,72733,70909,1,1,1,616,25,27
"IN 1346664",1346663,115173,92978,89616,0,3,3,1087,36,39
"IN 1346859",1346858,72223,62473,61185,3,0,0,735,21,23
"IN 1350127",1350126,138280,104220,101243,3,2,2,1046,29,32
"IN 1350198",1350197,91249,72897,70969,2,1,1,605,27,29
"IN 1350480",1350479,154791,113574,109234,2,6,6,1028,56,62
"IN 1351386",1351385,57483,42699,42100,6,0,0,591,15,17
"IN 1351519",1351518,200704,143308,132390,1,9,9,1216,36,38
"IN 1354629",1354628,93254,76523,72136,2,3,3,889,19,22
"IN 1354875",1354874,95875,43420,34965,1,2,2,650,6,7
"IN 1356093",1356092,82229,60275,52678,2,1,1,507,15,16
