"Neuron","Skeleton","Raw cable (nm)","Smooth cable (nm)","Lower-bound cable (nm)","N inputs","N outputs","N presynaptic sites","N nodes","N branch nodes","N end nodes"
"cioMNcover_r",228289,2173842,1142377,959738,7,243,243,10314,141,146
"cMNATO",1302189,2050625,1158758,1037269,63,199,199,9375,213,223
"Loop-l",1298426,3353452,1963917,1802306,99,310,310,21841,398,408
"Loop-r",1280027,2994376,1633316,1508928,87,330,330,19314,367,379
"MC",60061,1556977,953959,860586,121,343,343,6008,195,208
"MC3cover_l",261398,1660209,934251,847117,80,47,47,9171,185,191
"MC3cover_r",1166300,1940031,1121705,990215,110,61,61,10645,179,183
"MN 1442573",1442572,102029,52611,50782,3,7,7,705,8,10
"MN 1533720",1533719,166338,130976,128821,2,4,4,1676,71,78
"MN 1815733",1815732,240931,186692,174221,6,7,7,1769,39,40
"MN 1850406",1850405,289976,173641,153036,2,5,5,1912,70,73
"MN MIP?? 1301109",1301108,132984,103776,101893,6,1,1,778,29,30
"MN_oblique_sg3l1",1846918,144531,111362,108942,9,26,26,1307,31,33
"MN_oblique_sg3l2",1435256,131641,109661,106221,7,12,12,1312,48,50
"MN_oblique_sg3l3",1407835,151109,119388,116557,4,14,14,1498,41,42
"MN_oblique_sg3r2",1401321,137076,112162,109566,5,9,9,1552,46,49
"MNac_sg1r 1690430",1690429,233357,150531,139890,2,19,19,1230,37,40
"MNacic_sg1r",1763522,251610,149632,138215,2,13,13,1361,26,27
"MNacic_sg3l",1447037,385584,272189,257720,8,34,32,3449,58,61
"MNacic_sg3r",907055,406476,292952,274650,14,44,44,3463,50,53
"MNacicular_sg3l 1700044",1700043,200237,135492,126680,2,8,8,1314,33,34
"MNacicX_sg2r",1382729,226160,166441,161213,21,28,28,2005,70,73
"MNacicX_sg3ll",1414213,339288,245578,236543,28,22,22,2756,87,92
"MNacicX_sg3lr",1216549,296723,216539,209364,46,31,31,2653,107,112
"MNakro_l",1489640,462726,289699,272852,11,29,29,2726,77,84
"MNakro_r",1341740,414791,245521,233433,9,54,54,2055,62,68
"MNant_l",1355372,2118594,1221502,1126103,132,140,140,11114,273,286
"MNant_r",1285069,1669224,955604,833920,109,125,125,8792,181,186
"MNantacic_sg1l",1850777,334694,230684,220041,2,45,45,1983,50,52
"MNantacic_sg2l",1953050,253043,198899,186115,4,2,2,1877,49,51
"MNantacic_sg2r1",1579204,236944,186189,176846,5,13,13,2005,43,47
"MNantacic_sg2r2",1399590,288011,223438,212929,5,21,20,2174,48,50
"MNantelope_sg1r",1753932,136984,69737,60989,3,13,13,788,16,17
"MNantelope_sg3l",1435418,88494,73046,70823,6,13,13,1044,29,30
"MNantelope_sg3r",1457836,87404,70230,68644,2,4,4,959,21,22
"MNarm_sg2l1",1684965,212687,167014,160685,4,13,13,1970,41,44
"MNarm_sg2l2",1541032,196442,152408,146544,4,6,6,1815,41,44
"MNarm_sg2r1",1566960,239529,171296,159225,9,22,22,2056,42,46
"MNarm_sg2r2",1757115,130742,96432,91142,3,5,5,933,27,28
"MNarm_sg3l1",1387530,183498,140578,136544,9,15,15,1874,43,45
"MNax_sg1l",1016172,220640,109333,103863,7,18,16,1346,29,31
"MNax_sg2r",1432357,156026,115287,111324,2,35,33,1597,26,30
"MNbiramous_sg1l1",1295517,517753,248672,210384,20,12,12,2223,57,59
"MNbiramous_sg1r1",715837,556374,294094,256127,17,12,12,2878,65,67
"MNbiramous_sg2l1",1849324,351099,256090,242214,26,14,14,2991,68,72
"MNbiramous_sg2r1",1567189,476947,347920,328832,22,27,27,3271,115,119
"MNbiramous_sg3l1",1408867,388695,287336,275194,31,29,29,3809,72,75
"MNbiramous_sg3r1",1293484,370184,283618,269375,20,29,29,2967,82,87
"MNbow_sg2l1; proenk",1729648,1157317,736826,686924,32,50,50,7572,155,159
"MNbow_sg2r1; proenk",1307524,887421,576129,510202,30,35,34,7453,93,95
"MNchaet_sg3r3",1763749,195714,157899,153367,0,18,18,1287,38,40
"MNche_sg1l",1951105,202368,107019,98782,3,4,4,795,15,17
"MNche_sg1r",1671147,163702,99073,88914,3,5,4,941,11,12
"MNche_sg2l1",1436108,239363,162567,157483,10,11,11,1796,67,71
"MNche_sg2l2",1381662,184910,137248,133502,5,5,5,1384,38,40
"MNche_sg2r",1728563,134639,107124,102551,2,5,5,1098,33,34
"MNche_sg3l1",1415344,240338,191670,184323,3,24,23,2226,49,53
"MNche_sg3l2",1384013,148343,118986,114254,6,7,7,1339,30,32
"MNche_sg3l3",1415473,152840,113399,108008,1,9,9,1595,23,25
"MNche_sg3r1",1383001,199158,166663,163770,4,2,2,1722,61,65
"MNche_sg3r2",1763759,177606,144075,130442,5,5,5,1251,27,28
"MNcomm_sg2r 1813881",1813880,335991,229933,221587,18,29,29,2790,81,84
"MNcommdesc_sg1r 1514870",1514869,195248,103731,98099,4,7,7,1095,37,39
"MNcommdesc_sg3l 1460114",1460113,84902,66698,64863,1,7,7,992,27,28
"MNcool 1830643",1830642,654870,319599,285843,32,38,38,3649,100,102
"MNcosplitN3r",1377483,654116,383985,364346,21,18,18,5207,76,80
"MNcrab_sg2l1",1727474,1044477,501228,463585,45,79,79,5306,129,134
"MNcrab_sg2r1",1348484,666598,358804,322656,42,99,95,3686,81,83
"MNcrab_sg3l1",1239327,583238,418333,404452,34,92,92,5408,96,99
"MNcrab_sg3r1",1026962,424340,296331,283190,34,71,71,3378,82,85
"MNcross_sg2l2",1339008,310375,177222,172299,8,31,29,2482,64,69
"MNdecus-branch_sg3l",1279078,273890,196534,191044,14,11,11,2623,61,63
"MNdecuss_l 656355",656354,334872,213893,199372,5,7,7,1978,73,78
"MNdecuss_r 1593703",2016902,532234,276050,259228,15,21,21,3086,85,92
