"Neuron","Skeleton","Raw cable (nm)","Smooth cable (nm)","Lower-bound cable (nm)","N inputs","N outputs","N presynaptic sites","N nodes","N branch nodes","N end nodes"
"antCR1r",1282965,359694,178377,142702,10,36,36,2219,8,9
"antCR2l",1730901,185054,111781,103185,0,3,3,1011,29,30
"antCR3l; SN",1003081,242352,146888,119760,2,1,1,1220,29,32
"antCR3r",193819,443734,200189,180250,4,20,20,2336,37,41
"antCR4l",1272941,263292,158326,141589,0,9,9,1570,30,31
"antCR4r",192436,436384,203469,162099,10,15,15,1741,44,45
"antCR5l",1736843,246563,133716,118757,2,4,4,1245,26,29
"antCR5r",192214,257550,144539,131816,4,1,1,1460,31,32
"antenna_right13;SN",192132,125646,84039,80225,0,3,3,1021,21,23
"antPUc1l",738760,118166,74619,69573,1,7,7,872,30,34
"antPUc1r",160141,139017,77193,72853,1,4,4,865,20,22
"antPUc2l",1318929,122188,80763,72946,3,2,2,929,19,21
"antPUc3l",1318919,121721,72973,68072,7,4,4,953,17,19
"antPUc3r",192812,94791,59712,57967,2,2,2,874,15,16
"antPUc4l",1318938,72327,46381,43211,1,0,0,676,9,10
"antPUc4r",192051,126409,79959,76432,2,2,2,854,22,24
"antPUc6l",1324546,127179,87274,82482,2,3,3,989,32,33
"antPUc6r",192323,94769,50499,46291,0,1,1,729,10,11
"antPUc7l",1324587,172534,108771,103589,1,2,2,1197,30,33
"antPUc7r",192257,126563,73845,66976,1,1,1,908,18,21
"antPUc8r",192595,139564,81898,75748,2,2,2,985,25,27
"antPUc9r",193047,98773,67839,61532,1,3,3,812,17,19
"chaeMech_sg1l1",1363796,368997,169911,157158,14,35,35,1758,35,36
"chaeMech_sg1l2",1312731,574384,250846,225134,20,105,105,2557,66,67
"chaeMech_sg1r1",1415528,355041,179713,146359,13,55,55,2618,35,36
"chaeMech_sg1r2",1443411,503779,228092,197271,25,116,116,2627,48,49
"chaeMech_sg2l1",2008640,287636,195080,189480,9,61,61,2774,59,60
"chaeMech_sg2l2",1849623,95149,70656,67850,0,6,6,952,10,11
"chaeMech_sg2l3",1850496,261783,163984,150313,6,26,26,2009,25,27
"chaeMech_sg2l4",2008327,140332,95262,85295,3,5,5,1043,13,14
"chaeMech_sg2r1",1837982,455567,309305,297714,56,112,112,3964,94,97
"chaeMech_sg2r3",1609864,386728,253800,240186,29,136,135,3428,81,84
"chaeMech_sg2r4",1845760,334750,200345,188570,9,47,47,2674,49,50
"chaeMech_sg3l1",1381127,177696,133295,127378,17,23,23,2425,33,34
"chaeMech_sg3l2",1383986,261461,197293,189915,18,140,140,3292,48,53
"chaeMech_sg3l3",1691763,222557,173606,166816,16,17,17,2252,45,46
"chaeMech_sg3l4",1387465,192512,149888,146289,10,21,21,1974,39,41
"chaeMech_sg3r1",1382978,214448,170042,164662,13,56,56,2562,42,43
"chaeMech_sg3r2",1382959,213832,172701,166385,4,18,18,2258,59,64
"chaeMech_sg3r3",1731062,264881,213094,205731,21,88,88,2808,61,64
"chaeMech_sg3r4",1434961,146229,114776,109599,1,7,7,1045,23,25
"cPRCl1",252608,305194,201370,189972,1,67,67,1737,75,79
"cPRCl2",252853,518072,363694,344898,7,82,81,2524,138,164
"cPRCr1",241978,316794,220974,211969,1,58,58,1793,94,100
"cPRCr2",252137,322790,242173,226802,0,74,74,1970,94,97
"doCRunp",139303,1108704,469975,353064,12,26,26,4398,81,82
"dorsalParaPB1_sg1l",1349072,126573,71324,61980,1,0,0,552,7,8
"dorsalParaPB2_sg2l",1276971,150661,105862,102597,3,4,4,994,18,20
"dorsalParaPU1_sg2r",1815592,377779,240757,227961,5,8,8,3040,36,37
"dorsalParaPU2_sg2r",1690116,143714,107213,98304,8,5,5,1002,15,17
"dorsalParaPUc1_sg1l",1349077,237508,146531,119872,1,2,2,1052,14,15
"dorsalParaPUc1_sg2l",1394281,174132,123954,109812,3,10,10,1318,15,16
"dorsalTelo_PUc1r",1337804,222279,147121,138508,3,2,2,1455,38,39
"dorsalTeloPB1l",1276992,144225,106187,95064,2,5,5,947,12,13
"dorsalTeloPB1r",1337798,152188,107606,99329,2,18,18,972,14,15
"dorsalTeloPU2l",1700859,251934,185049,179331,14,16,16,2326,48,49
"dorsalTeloPUc1l",1700942,125230,97504,96002,3,3,3,882,16,17
"dsoCR1l",1736887,482599,227332,200845,7,19,19,2140,47,50
"dsoCR1r; PDF",796391,542006,279242,217150,9,31,31,2204,61,63
"dsoCR2l; PDF",2015193,625453,312035,270240,9,46,46,3177,61,67
"dsoCR2r",324793,536779,278310,233439,7,83,82,2962,46,49
"dsoCR3r",1281060,351563,214559,206879,4,20,20,1780,58,62
"dsoCR4l",1346759,198029,133083,126120,1,0,0,860,28,30
"dsoCR4r",1281333,145601,111277,106601,0,5,5,934,18,20
"dsoNPB1unp",744953,124779,76768,74140,1,0,0,596,25,27
"dsoPU1unp",1312187,156074,111613,103566,1,7,7,844,27,30
"dsoPU2unp",1364769,167652,119101,116161,1,8,8,987,28,29
"dsoPU3unp",1317564,132199,104921,102820,1,11,11,912,27,30
"dsoPUc1unp",1298552,173188,136951,129091,0,16,16,976,34,36
"eyespot_PRCl_new1; SN",772993,92700,73454,68434,1,3,3,503,18,20
"eyespot_PRCl_R1",766165,219940,158629,150715,6,17,17,1177,52,57
"eyespot_PRCl_R3",167671,322800,212634,193380,0,50,50,1288,41,44
"eyespot_PRCr_new1;SN",771631,93367,72965,70575,1,2,2,580,19,21
"eyespot_PRCr_R1",770802,229789,166059,158903,2,25,25,1340,43,47
"eyespot_PRCr_R3",57341,296514,195624,173558,1,56,55,1205,36,40
"hCirrusCR1r",1349113,281790,106041,86015,0,1,1,1180,14,16
"hCirrusCR2r",1348968,274719,93910,68129,2,0,0,923,7,8
"hCirrusPU1l",2015704,311830,136189,123481,6,15,15,1717,29,30
"hCirrusPUc1r",156947,309801,139517,128686,8,15,15,2026,28,29
"hCR1l1",2015241,470422,220451,164702,9,26,26,2114,13,14
"hCR1l2",2015233,465867,211980,167267,16,50,49,2317,24,26
"hCR1r",1688689,440493,204024,164003,14,45,45,2229,29,32
"hCR2l",2015119,506024,214703,180043,17,50,47,2510,34,35
"hCR2r",153151,472208,225672,166774,20,52,51,2296,29,30
"hCR3l",1272719,269837,158449,139360,3,7,7,1751,34,36
"hCR3r",1272664,209628,123536,115607,5,8,8,1194,32,34
"hPBc1l",1278006,135918,86108,82898,1,2,2,829,33,37
"hPBc1r",1281169,117253,84178,80002,2,8,8,806,22,23
"hPU1l",1278051,111057,70794,62109,1,2,2,658,16,18
"hPU1r",1283053,79010,58638,56902,3,5,5,672,18,20
"hPU2l_asymPDF",1367387,326627,192894,165032,4,28,28,1790,29,32
"hPUc1l",174199,228090,163085,156786,10,17,17,1698,56,58
"hPUc1r",177343,184781,143727,140492,5,14,14,1452,50,55
"hPUc2l",183077,178795,107012,103307,2,10,10,1141,34,36
"hPUc2r",189615,142502,97992,94729,0,7,7,1010,34,39
"hPUc3l",181663,318765,190070,175950,8,11,11,1828,40,43
"hPUc3r",185562,381223,180722,152979,7,25,25,1783,29,30
"immatureSNr 1372598",1372597,148175,98241,87002,2,1,1,882,15,17
"interparaPM1_sg1l",1349942,153059,96324,84998,1,8,8,796,11,12
"interparaPM1_sg1r",1306349,235606,114923,88117,0,3,3,721,14,15
"interparaPM1_sg2l",1732349,119014,90265,87003,0,8,8,787,14,15
"interparaPM1_sg2r",1360565,142877,100386,96367,1,14,14,1056,15,16
"interparapodCR1_sg1l",1349949,321563,158503,132739,2,24,24,1621,32,34
"interparapodCR1_sg1r",1412575,386415,171991,143921,6,31,31,1742,36,37
"interparapodCR1_sg3l",1349040,138850,104979,96088,0,1,1,999,19,21
"interparaPU1_sg1l",1377191,217927,119849,73752,1,2,2,718,7,8
"interparaPU1_sg1r",1307247,461395,224957,205083,13,28,27,2776,61,64
"interparaPU1_sg2l",1849863,239491,173233,164095,4,19,19,2059,49,50
"interparaPU1_sg2r",1377198,168387,119879,113570,3,1,1,1197,28,30
"interparaPUc1_sg1r",1307230,335376,159613,118221,1,8,8,1472,22,23
"interparaPUc1_sg2l",1975364,220727,158573,155598,3,4,4,1702,42,43
"metatrochNPU1r; SN",1350368,145424,69385,64423,4,2,2,650,17,20
"MS1",16719,297106,229016,217553,15,122,122,1641,95,105
"MS2",1737105,409899,306213,295341,22,165,157,1792,118,138
"MS3l",115486,208354,146563,142368,4,14,14,1041,46,50
"MS3r",118101,199681,143660,139105,2,25,24,1283,43,44
"MS4",64258,891438,442348,325495,37,79,76,3477,95,105
"MS5l",139142,776862,387704,219346,1,3,3,2330,33,38
"MS5r",139543,698001,342114,239992,14,19,19,2531,61,69
"neuropodPUc1_sg1l",1360579,202807,82724,74491,0,2,2,652,18,20
"neuropodPUc1_sg1r; SN",1415508,255292,118798,109022,1,6,6,1074,36,37
"neuropodPUc1_sg2l",1847754,122070,92202,90354,6,3,3,1164,22,23
"neuropodPUc1_sg2r",1417545,98843,67857,61107,0,1,1,536,10,11
"neuropodPUc1_sg3l",1631145,65887,43186,41077,0,6,6,773,5,6
"neuropodPUc2_sg2l",1847818,167568,108583,103726,0,5,5,1265,39,40
"notopodPUc1_sg1l (deprecatedMNperif) 1588420",1588419,361649,185185,150448,0,18,18,2173,22,23
"notopodPUc1_sg1r",1999932,459949,233893,179674,9,15,15,3035,43,45
